Investor name,Website,Global HQ,Countries of investment,Stage of investment,Investment thesis,Investor type,First cheque minimum,First cheque maximum
Ante-Bellum Angels,https://www.antebellumangels.com/,"London, UK",UK,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in defence startups with essential early-stage capital, empowering them to bring revolutionary solutions to the forefront of national security.",Angel network,"$50,000","$100,000"
Ariel Savannah Angel Partners,https://asap-invests.com/,"PO Box 1595 Richmond Hill, GA 31324",USA,"2. Prototype,3. Early Revenue","We invest in early-stage technology companies offering proprietary, disruptive innovations with significant growth potential and returns. Minimum of two complementary founders (no sole proprietors or lifestyle businesses). Scalable business model, TAM >$100M, validated proof-of-concept, robust go-to-market strategy, clear funding milestones, defined five-year exit plan, and valuation aligned with opportunity and risk.",Angel network,"$100,000","$2,000,000"
Arkstons Capital,https://venture.angellist.com/arkstons-capital/syndicate,"London, United Kingdom","India,UAE,UK,USA,Singapore","6. Pre-IPO,5. Growth,4. Scaling,3. Early Revenue,2. Prototype,1. Idea or Patent","We invest in IoT, Fintech, SaaS, Tech, EdTech across stages",Angel network,"$50,000","$500,000"
BADideas.fund,https://badideas.fund,"Riga, Latvia","Albania,Belarus,Czech Republic,Estonia,Latvia,Lithuania,Moldova,Poland,Romania,Slovakia,Slovenia,Ukraine","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in post-MVP CEE rooted founders, primarily B2B SaaS and marketplace.
Led by helpful founders & operators. Among members/investors - 200 founders and operators from 20 countries, who’ve been building such companies as Vimeo ($450M funding), Printify ($54M), Pandadoc ($51M), Pipedrive ($90M), Bolt ($2B funding), etc.",Angel network,"$50,000","$1,000,000"
Bangladesh Angels Network,https://www.bdangels.co/,"ICT Tower, 15th Floor, Plot: E-14/X, Agargaon Dhaka 1207",Bangladesh,"3. Early Revenue,4. Scaling,2. Prototype","We invest in innovative, high-growth companies of Bangladeshi origin. As long as there's some sort of a connection to Bangladesh, we are eager to look in. It may be that the founding team is non-Bangladeshi but the company has plans to expand into the Bangladeshi market - such companies are welcome to apply. We welcome entrepreneurs from all backgrounds including first-time entrepreneurs or those who have failed in their earlier attempts. Here’s what we look for:

High-quality, passion and resilience of the management team
First of a kind, innovative idea/model with a large potential to scale
High barriers to entry (or) a competitive advantage
Established proof of concept",Angel network,"$50,000","$500,000"
better ventures,https://www.betterventures.io/,"Munich, Germany",Germany,"1. Idea or Patent,2. Prototype,3. Early Revenue","We only invest in Impact. Impact is defined as being positive for the planet or society. On the planetary side we invest in resources, ecosystems and climate, on the societary side we invest in new work, education and health. ",Angel network,"$25,000","$800,000"
Birchal First,http://birchal.com,"1 Gordon St, Suite 2.04, Cremorne, Victoria 3121, AU",Australia,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth","We Invest in hardware technology business, sector and industry agnostic, headquartered in Australia",Angel network,"$10,000","$5,000,000"
Chandigarh Angel Network,https://chandigarhangelsnetwork.com/,"Chandigarh, India","UAE,India,Canada","1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in early-stage Indian companies across all industries and verticals.,Angel network,"$100,000","$400,000"
CivilizationX,https://civilizationx.notion.site/CivilizationX-62a42e05cdb6475fac8e13bf070744d7,"London, UK","Kazakhstan,Albania,Belgium,Bulgaria,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Iceland,Ireland,Italy,Liechtenstein,Luxembourg,Moldova,Montenegro,Netherlands,Norway,Portugal,Slovakia,Slovenia,Spain,Sweden,Switzerland,UK,Ukraine","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in these five key areas:

Offering: Hardware, Processor, CPU, GPU, FPGA, ASIC, Memory, Storage
Technology: Machine learning and Deep learning (MLOps)
Deployment/End User: On-premises, Cloud and Hybrid.
Function: Models that can support various tasks (Foundational Models)
Function: Training and Inference (SaaS)

We aim to propel humanity into a new era of technology through the synergy of human and AI capabilities. While one way to address our energy dependency is by investing in nuclear fusion, it may still take decades to see significant changes. Therefore, we focus on the immediate future by investing in the foundational elements of AI infrastructure. This is why we support visionary founders with highly technical expertise.",Angel network,"$1,000","$500,000"
Climate Insiders,https://www.climateinsiders.com,New York,"USA,UK,France,Germany,Sweden,Norway,Netherlands,Belgium,Denmark","2. Prototype,3. Early Revenue","We invest in climate tech, in deep tech companies that have the potential to cut down megatons of CO2 emissions annually",Angel network,"$100,000","$500,000"
Club degli Investitori,http://www.clubdeglinvestitori.it/,"Via Giacosa 38, 10125 Torino, Italy",Italy,"3. Early Revenue,4. Scaling,5. Growth",We invest in Italian entrepreneurs.,Angel network,"$200,000","$1,200,000"
Cobin Angels,https://www.cobinangels.com/,"Chmielna 73, Warsaw, Poland","Poland,Ukraine,Belarus,Romania,Hungary,Czech Republic,Estonia,Slovakia,Slovenia,Latvia,Bulgaria","2. Prototype,3. Early Revenue,1. Idea or Patent","We invest in Poland and CEE. 

We like Healthcare, companies with proven POC and first revenues. 

We are a generalist, early-stage angel investor community.",Angel network,"$25,000","$250,000"
Companisto Investor Network,https://www.companisto.com/de/angel-club,"Köpenicker Straße 154a, Berlin, Berlin 10997, DE",Germany,"3. Early Revenue,2. Prototype,4. Scaling,5. Growth,6. Pre-IPO","We invest in technology and entrepreneurial teams from Germany, Austria and Switzerland.",Angel network,"$750,000","$7,999,999"
Cool Climate Collective,https://www.coolclimatecollective.com/,"Sacramento, CA",USA,"1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in early stage ClimateTech companies, deep tech and hardware oriented preference. Prototype is sweet spot, idea and pre & post-revenue are also great.",Angel network,"$75,000","$250,000"
CouchPotato,https://couchpotato.vc,"Bengaluru, India","India,USA,Singapore,Japan","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in SaaS, fintech, future of work, climate tech, dev tools and more. We’re thesis-driven but also founder-focused in our approach.

At Couchpotato, we believe that exceptional founders are the driving force behind transformative companies. Our mission is to empower ambitious entrepreneurs by providing patient capital and hands-on support in the earliest stages of startup journeys.

We invest pre-seed and seed, writing $100K checks as a founder's first outside capital. This enables entrepreneurs to get started and gain momentum without substantial dilution.

In addition to flexible financing, we take an active role in helping de-risk the startup process. Our team of experienced operators advises on growth, product-market fit, hiring key roles, forming partnerships, and raising future rounds.

We leverage our network to connect portfolio companies with advisors, customers, technical talent and follow-on investors. By sharing playbooks and facilitating pilot projects, we help founders avoid common pitfalls.

Our ideal founders are relentless learners who demonstrate grit, creativity and vision. We believe diverse, well-rounded teams outperform those with narrow expertise. Founders we back question assumptions, communicate effectively, and balance passion with pragmatism.

We designed Couchpotato to provide maximum autonomy with accountability. Our founder-friendly terms empower startups to take risks and maintain control. We drive alignment through transparency and only succeed when our portfolio succeeds.

If you are an ambitious innovator ready to take the leap, we want to fund you on your journey. Let’s build the future together, $100K check at a time.",Angel network,"$10,000","$100,000"
Daba Finance,https://www.dabafinance.com/en,"Miami, FL, USA","Côte d'Ivoire,Senegal,Nigeria,Morocco,South Africa,Ghana,Algeria,Egypt,Kenya,Rwanda,Namibia,Angola,Zambia,Zimbabwe,Mauritius,Botswana,Burkina Faso,Cameroon,DRC Congo,Ethiopia,Gabon,Mali,Benin,Togo","3. Early Revenue,4. Scaling,5. Growth","We invest in Fintech, Health tech, SaaS, Logistics Tech, Agritech",Angel network,"$5,000","$200,000"
Datainsight,https://github.com/datainsightio/home,"London, UK",UK,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in startups that are helping companies realise the value in automation.,Angel network,"$15,000","$100,000"
Deep Pow Syndicates,https://www.linkedin.com/in/colin-boey/,"London, UK","USA,UK","2. Prototype,3. Early Revenue,4. Scaling","We invest in B2B SaaS, automation, productivity, efficiency.",Angel network,"$100,000","$150,000"
Defense Angels,http://www.defenseangels.com,"Austin, TX 78702, US",USA,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","We invest in companies with technologies applicable to national security (deep tech, aerospace / defense, healthcare, cybersecurity, AI, etc)",Angel network,"$50,000","$250,000"
Dexter Angels,https://www.dexterangels.com,"Mumbai, Maharashtra 400070, IN",India,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling",We invest in early-stage Indian startups.,Angel network,"$50,000","$100,000"
DHS Syndicate,https://www.linkedin.com/in/davidhaywoodsmith/,"Hexham, UK",UK,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","We invest in extraordinary founders, sector agnostic, prefer a lead VC in place where possible",Angel network,"$25,000","$150,000"
Digital Mission Ventures,https://www.digitalmissionventures.com/,531A UPPER CROSS STREET #04-95 HONG LIM COMPLEX SINGAPORE 051531,"Singapore,Indonesia,Malaysia,Philippines,Thailand,Vietnam","3. Early Revenue,2. Prototype",We invest in faith driven founders who want to create scalable Kingdom/ Redemptive Impact across all sectors,Angel network,"$50,000","$100,000"
Doha Tech Angels,http://www.dta.qa/,"D Ring Road, Building No 131, Doha, PO BOX 2116, QA","Qatar,UAE,Saudi Arabia,Kuwait,Oman,Egypt,Pakistan,Singapore,India,Bangladesh,USA","3. Early Revenue,4. Scaling",We invest in seed stage technology startups in MENA and South Asia.,Angel network,"$50,000","$250,000"
DU Angels,https://www.duangels.com/,"Denver, CO 80202, US",USA,3. Early Revenue,"We invest in US-based early revenue, seed-stage companies with a focus on non-Silicon Valley founders.",Angel network,"$100,000","$500,000"
DVC,https://www.joindvc.com/,USA,USA,"4. Scaling,3. Early Revenue,5. Growth,6. Pre-IPO","We invest in Fintech, IoT, web3, SaaS, B2B, Latam, Consumer, Health.",Angel network,"$100,000","$500,000"
DxAngels,https://www.belalbadat.com/,"995 Market St San Francisco, CA 94103",USA,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling",We invest in digital health startups at pre-seed to Series A. We back founders with strong founder-market fit and prior healthcare experience.,Angel network,"$200,000","$500,000"
Ecostar Capital,https://ecostarcapital.kz/,"Abay Ave 143/93, Almaty, Kazakhstan",USA,"3. Early Revenue,2. Prototype,4. Scaling","We invest in Fintech, ConsumerTech, CleanTech, EdTech, SaaS",Angel network,"$25,000","$500,000"
Equentis,"https://www.equentis.com/researchandranking#:~:text=Alternative%20Investment%20Fund,23%2D24/1419.","A-603, Marathon Futurex, N. M. Joshi Marg, Lower Parel, Mumbai-400013",India,"3. Early Revenue,4. Scaling","We invest in companies with ARR of INR 10 crores and above, but please reach out regardless if you believe you are on the way to this threshold We are a sector-agnostic fund / platform, choosing to focus on India-related themes, ranging from plays on India's consumption, credit and capital stories. We would love to hear from all founders working on solving interesting problems specific to India and building brands catering to India / Bharat.",Angel network,"$500,000","$1,000,000"
Escalar,https://www.escalar.vc/,"Mexico City, Mexico","Mexico,Colombia,Chile,Peru,Argentina,Honduras,Costa Rica,Dominican Republic","2. Prototype,3. Early Revenue",We invest in latin-american startups in early stage.,Angel network,"$5,000","$20,000"
